epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,9902.65,1.63167,1.36994,1.39547,0.55405,0.39868,0.39618,0.23694,1.6827,1.55538,1.52238,0.008581,0.008581,0.008581
45,10069.5,1.62401,1.37873,1.40069,0.56232,0.37286,0.39546,0.23447,1.69405,1.55985,1.52756,0.008548,0.008548,0.008548
46,10301.1,1.62723,1.37744,1.39171,0.52266,0.39984,0.39826,0.23783,1.69342,1.55863,1.52991,0.008515,0.008515,0.008515
47,10469.2,1.62828,1.38828,1.40756,0.5474,0.39676,0.40277,0.24328,1.69962,1.56405,1.5241,0.008482,0.008482,0.008482
48,10716.9,1.61987,1.36027,1.39286,0.53512,0.41392,0.40427,0.2418,1.69757,1.54321,1.52676,0.008449,0.008449,0.008449
49,10880.9,1.6108,1.34919,1.39139,0.54345,0.41619,0.41379,0.24644,1.6797,1.53406,1.51907,0.008416,0.008416,0.008416
50,11098.1,1.61236,1.35205,1.39122,0.56454,0.39776,0.41291,0.24723,1.69412,1.53382,1.5192,0.008383,0.008383,0.008383
51,11274.9,1.6136,1.33981,1.38746,0.56328,0.40511,0.40795,0.24531,1.7273,1.54189,1.53544,0.00835,0.00835,0.00835
52,11438.3,1.60351,1.33388,1.38566,0.50957,0.41809,0.40947,0.2436,1.67888,1.52726,1.51562,0.008317,0.008317,0.008317
53,11604.5,1.60513,1.34706,1.3833,0.49722,0.42162,0.41426,0.24915,1.67335,1.52447,1.51745,0.008284,0.008284,0.008284
54,11770,1.6055,1.34403,1.38733,0.53541,0.41659,0.41386,0.24874,1.68824,1.52568,1.5251,0.008251,0.008251,0.008251
55,12134.9,1.60362,1.33007,1.38298,0.54997,0.40699,0.41494,0.25045,1.68741,1.526,1.52306,0.008218,0.008218,0.008218
56,12304,1.60512,1.325,1.3821,0.55017,0.41581,0.4169,0.24922,1.66978,1.52511,1.51272,0.008185,0.008185,0.008185
57,12468.6,1.59539,1.29975,1.37204,0.52818,0.43135,0.41875,0.25143,1.68044,1.51166,1.51723,0.008152,0.008152,0.008152
58,12634.6,1.59471,1.31308,1.37429,0.55503,0.41871,0.42167,0.25562,1.67176,1.51502,1.50632,0.008119,0.008119,0.008119
