epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4054.01,1.77499,1.73893,1.48753,0.55983,0.35937,0.36001,0.20571,1.73989,1.74468,1.53746,0.008614,0.008614,0.008614
44,4146.93,1.77446,1.73887,1.48254,0.56371,0.35032,0.35329,0.20094,1.75668,1.74541,1.53943,0.008581,0.008581,0.008581
45,4239.48,1.77389,1.73534,1.49488,0.51365,0.37016,0.36593,0.20988,1.75519,1.73821,1.54567,0.008548,0.008548,0.008548
46,4332.49,1.76861,1.72131,1.4714,0.52151,0.36508,0.37915,0.21653,1.73738,1.73039,1.54175,0.008515,0.008515,0.008515
47,4425.27,1.76775,1.71656,1.48129,0.57796,0.36355,0.3776,0.2166,1.75345,1.73655,1.53711,0.008482,0.008482,0.008482
48,4518.25,1.76592,1.72766,1.47671,0.60876,0.36848,0.37489,0.21705,1.74471,1.72817,1.53727,0.008449,0.008449,0.008449
49,4611.08,1.76449,1.6997,1.48385,0.57807,0.38143,0.38423,0.22156,1.75225,1.72779,1.54057,0.008416,0.008416,0.008416
50,4703.69,1.75258,1.68925,1.47545,0.57811,0.38058,0.38372,0.21963,1.75942,1.71739,1.53613,0.008383,0.008383,0.008383
51,4796.55,1.75732,1.67418,1.4693,0.57795,0.38072,0.39339,0.227,1.76021,1.7157,1.53554,0.00835,0.00835,0.00835
52,4889.61,1.75803,1.6869,1.47641,0.56832,0.38031,0.38527,0.22111,1.74538,1.71447,1.53089,0.008317,0.008317,0.008317
53,4982.2,1.76147,1.68864,1.4705,0.56343,0.38168,0.38389,0.22172,1.7342,1.71117,1.52574,0.008284,0.008284,0.008284
54,5073.95,1.76547,1.68639,1.47924,0.60098,0.3658,0.38002,0.22178,1.74176,1.70716,1.52595,0.008251,0.008251,0.008251
55,5165.4,1.75331,1.6803,1.47265,0.5641,0.37789,0.38339,0.22306,1.73537,1.69668,1.52714,0.008218,0.008218,0.008218
56,5257.22,1.76115,1.67741,1.46864,0.56795,0.38273,0.38721,0.22603,1.72281,1.69453,1.52175,0.008185,0.008185,0.008185
57,5348.93,1.74307,1.6453,1.45895,0.55241,0.38311,0.38617,0.22332,1.72593,1.68746,1.52047,0.008152,0.008152,0.008152
58,5440.78,1.74352,1.64657,1.46501,0.54603,0.384,0.38895,0.22526,1.72667,1.69412,1.51938,0.008119,0.008119,0.008119
59,5532.64,1.74257,1.63649,1.45829,0.50186,0.40157,0.39387,0.22955,1.73071,1.69064,1.52062,0.008086,0.008086,0.008086
60,5624.43,1.74729,1.65771,1.46628,0.55248,0.3908,0.39542,0.22998,1.73201,1.68806,1.52095,0.008053,0.008053,0.008053
61,5717.15,1.74507,1.63709,1.45733,0.53555,0.38573,0.39866,0.23122,1.7332,1.68194,1.5193,0.00802,0.00802,0.00802
62,5808.98,1.74183,1.65778,1.46471,0.57049,0.38466,0.40617,0.23515,1.72451,1.68067,1.51656,0.007987,0.007987,0.007987
63,5900.51,1.74516,1.64086,1.47279,0.57331,0.38421,0.4059,0.23504,1.72926,1.67702,1.51883,0.007954,0.007954,0.007954
64,5992.45,1.73745,1.61597,1.45853,0.55065,0.39289,0.41049,0.23685,1.72795,1.67934,1.51725,0.007921,0.007921,0.007921
65,6084.12,1.73218,1.625,1.46116,0.50501,0.41,0.41011,0.23744,1.72569,1.6776,1.5173,0.007888,0.007888,0.007888
66,6175.74,1.73758,1.63717,1.4583,0.47031,0.41296,0.41114,0.23869,1.71961,1.67248,1.51657,0.007855,0.007855,0.007855
67,6267.77,1.74069,1.62274,1.45522,0.50054,0.41803,0.41386,0.23922,1.72112,1.66765,1.51638,0.007822,0.007822,0.007822
68,6359.56,1.73055,1.61857,1.44982,0.52159,0.41671,0.41587,0.24027,1.71974,1.66867,1.51555,0.007789,0.007789,0.007789
